Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Pickup_Delay,Distance_km,Hour,Time_Slot,Delay_Flag
ialx566343618,37,4.9,22.745049,75.892471,22.765049,75.912471,19-03-2022,11:30,11:45,Sunny,High ,motorcycle ,Urban ,120,Clothing,15.0,3.1395541084679253,11,Morning,False
akqg208421122,34,4.5,12.913041,77.683237,13.043041,77.813237,25-03-2022,19:45,19:50,Stormy,Jam ,scooter ,Metropolitian ,165,Electronics,5.0,20.407101705043466,19,Evening,True
njpu434582536,23,4.4,12.914264,77.6784,12.924264,77.6884,19-03-2022,08:30,08:45,Sandstorms,Low ,motorcycle ,Urban ,130,Sports,15.0,1.5697770542346596,8,Morning,False
rjto796129700,38,4.7,11.003669,76.976494,11.053669,77.026494,05-04-2022,18:00,18:10,Sunny,Medium ,motorcycle ,Metropolitian ,105,Cosmetics,10.0,7.848885271170371,18,Evening,False
zguw716275638,32,4.6,12.972793,80.249982,13.012793,80.289982,26-03-2022,13:30,13:45,Cloudy,High ,scooter ,Metropolitian ,150,Toys,15.0,6.27910821693599,13,Afternoon,False
fxuu788413734,22,4.8,17.431668,78.408321,17.461668,78.438321,11-03-2022,21:20,21:30,Cloudy,Jam ,motorcycle ,Urban ,130,Toys,10.0,4.7093311627025845,21,Night,False
njmo150975311,33,4.7,23.369746,85.33982,23.479746,85.44982,04-03-2022,19:15,19:30,Fog,Jam ,scooter ,Metropolitian ,200,Toys,15.0,17.2675475965754,19,Evening,True
jvjc772545076,35,4.6,12.352058,76.60665,12.482058,76.73665,14-03-2022,17:25,17:30,Cloudy,Medium ,motorcycle ,Metropolitian ,160,Snacks,5.0,20.407101705043466,17,Evening,False
uaeb808891380,22,4.8,17.433809,78.386744,17.563809,78.516744,20-03-2022,20:55,21:05,Stormy,Jam ,motorcycle ,Metropolitian ,170,Electronics,10.0,20.407101705044443,20,Evening,True
bgvc052754213,36,4.2,30.327968,78.046106,30.397968,78.116106,12-02-2022,21:55,22:10,Fog,Jam ,motorcycle ,Metropolitian ,230,Toys,15.0,10.988439379639551,21,Night,True
vmau710398846,21,4.7,10.003064,76.307589,10.043064,76.347589,13-02-2022,14:55,15:05,Stormy,High ,motorcycle ,Metropolitian ,115,Cosmetics,10.0,6.279108216936966,14,Afternoon,False
lcwn330553507,23,4.7,18.56245,73.916619,18.65245,74.006619,04-03-2022,17:30,17:40,Sandstorms,Medium ,scooter ,Metropolitian ,105,Shoes,10.0,14.127993488107755,17,Evening,False
wcjs752046999,34,4.3,30.899584,75.809346,30.919584,75.829346,13-02-2022,09:20,09:30,Sandstorms,Low ,motorcycle ,Metropolitian ,100,Apparel,10.0,3.1395541084679253,9,Morning,False
blhl288691670,24,4.7,26.463504,80.372929,26.593504,80.502929,14-02-2022,19:50,20:05,Fog,Jam ,scooter ,Metropolitian ,205,Jewelry,15.0,20.407101705043324,19,Evening,True
zyvo118176215,29,4.5,19.176269,72.836721,19.266269,72.926721,02-04-2022,20:25,20:35,Sandstorms,Jam ,van,Metropolitian ,100,Outdoors,10.0,14.127993488107478,20,Evening,False
uhfs888375680,35,4.0,12.311072,76.654878,12.351072,76.694878,01-03-2022,14:55,15:10,Windy,High ,scooter ,Metropolitian ,33,Grocery,15.0,6.2791082169371055,14,Afternoon,False
vmfv999642595,33,4.2,18.592718,73.773572,18.702718,73.883572,16-03-2022,20:30,20:40,Sandstorms,Jam ,motorcycle ,Metropolitian ,200,Cosmetics,10.0,17.2675475965754,20,Evening,True
qfgc848777135,34,4.9,17.426228,78.407495,17.496228,78.477495,20-03-2022,20:40,20:50,Cloudy,Jam ,motorcycle ,Metropolitian ,205,Snacks,10.0,10.988439379639551,20,Evening,True
vwmc439983136,21,4.7,22.552672,88.352885,22.582672,88.382885,15-02-2022,21:15,21:30,Windy,Jam ,motorcycle ,Urban ,75,Jewelry,15.0,4.709331162702306,21,Night,False
ntzy027061451,25,4.1,18.563934,73.915367,18.643935,73.995367,16-03-2022,20:20,20:25,Sandstorms,Jam ,motorcycle ,Metropolitian ,180,Toys,5.0,12.558294922970886,20,Evening,True
pbjm971961647,31,4.7,23.357804,85.325146,23.487804,85.455146,10-03-2022,22:30,22:45,Sandstorms,Low ,van,Metropolitian ,130,Books,15.0,20.407101705043324,22,Night,False
kjic578711491,37,5.0,11.003669,76.976494,11.013669,76.986494,11-03-2022,08:15,08:30,Sandstorms,Low ,motorcycle ,Metropolitian ,100,Clothing,15.0,1.5697770542334049,8,Morning,False
rkzt648036688,33,4.3,12.986047,80.218114,13.116047,80.348114,27-03-2022,19:30,19:45,Windy,Jam ,scooter ,Metropolitian ,195,Snacks,15.0,20.407101705043466,19,Evening,True
segh259958026,25,4.0,19.221315,72.862381,19.261315,72.902381,26-03-2022,12:25,12:30,Cloudy,High ,motorcycle ,Metropolitian ,170,Jewelry,5.0,6.279108216936966,12,Afternoon,True
owvs520891091,29,4.5,13.005801,80.250744,13.115801,80.360744,27-03-2022,18:35,18:50,Sunny,Medium ,van,Metropolitian ,75,Outdoors,15.0,17.2675475965754,18,Evening,False
edrh271340988,27,5.0,26.849596,75.800512,26.879596,75.830512,05-04-2022,20:35,20:40,Stormy,Jam ,motorcycle ,Urban ,90,Cosmetics,5.0,4.7093311627025845,20,Evening,False
qvfd540651807,35,4.3,21.160522,72.771477,21.250522,72.861477,12-03-2022,23:20,23:30,Cloudy,Low ,scooter ,Metropolitian ,190,Electronics,10.0,14.127993488106362,23,Night,True
gzfn634029300,32,4.0,12.934179,77.615797,13.024179,77.705797,16-03-2022,21:20,21:35,Windy,Jam ,motorcycle ,Metropolitian ,235,Cosmetics,15.0,14.127993488107478,21,Night,True
xjps180812498,23,4.8,18.51421,73.838429,18.62421,73.948429,02-04-2022,23:35,23:45,Windy,Low ,van,Urban ,60,Jewelry,10.0,17.26754759657568,23,Night,False
ahpg083217029,31,4.8,11.022477,76.995667,11.052477,77.025667,01-04-2022,22:35,22:50,Sandstorms,Low ,motorcycle ,Metropolitian ,130,Jewelry,15.0,4.709331162702445,22,Night,False
itii428784576,36,4.1,21.160437,72.774209,21.210437,72.824209,05-03-2022,22:35,22:40,Stormy,Low ,motorcycle ,Urban ,110,Cosmetics,5.0,7.848885271170232,22,Night,False
