order_id,agent_age,agent_rating,store_latitude,store_longitude,drop_latitude,drop_longitude,order_date,order_time,pickup_time,weather,traffic,vehicle,area,delivery_time,category,order_day,order_month,is_weekend,order_hour,pickup_delay_mins,distance_km,distance_issue_flag,distance_category,peak_hour_flag,rating_group,slow_delivery_flag
ialx566343618,37,4.9,22.745049,75.892471,22.765049,75.912471,2022-03-19,11:30:00,11:45:00,Sunny,High,Motorcycle,Urban,120,Clothing,Saturday,3,True,11.0,15.0,3.03,0,Short,Non-Peak Hour,High Rating,0
akqg208421122,34,4.5,12.913041,77.683237,13.043041,77.813237,2022-03-25,19:45:00,19:50:00,Stormy,Jam,Scooter,Metropolitian,165,Electronics,Friday,3,False,19.0,5.0,20.18,0,Very Long,Peak Hour,Medium Rating,1
njpu434582536,23,4.4,12.914264,77.6784,12.924264,77.6884,2022-03-19,8:30:00,8:45:00,Sandstorms,Low,Motorcycle,Urban,130,Sports,Saturday,3,True,8.0,15.0,1.55,0,Short,Non-Peak Hour,Low Rating,0
rjto796129700,38,4.7,11.003669,76.976494,11.053669,77.026494,2022-04-05,18:00:00,18:10:00,Sunny,Medium,Motorcycle,Metropolitian,105,Cosmetics,Tuesday,4,False,18.0,10.0,7.79,0,Medium,Peak Hour,Medium Rating,0
zguw716275638,32,4.6,12.972793,80.249982,13.012793,80.289982,2022-03-26,13:30:00,13:45:00,Cloudy,High,Scooter,Metropolitian,150,Toys,Saturday,3,True,13.0,15.0,6.21,0,Medium,Non-Peak Hour,Medium Rating,0
fxuu788413734,22,4.8,17.431668,78.408321,17.461668,78.438321,2022-03-11,21:20:00,21:30:00,Cloudy,Jam,Motorcycle,Urban,130,Toys,Friday,3,False,21.0,10.0,4.61,0,Short,Peak Hour,High Rating,0
njmo150975311,33,4.7,23.369746,85.33982,23.479746,85.44982,2022-03-04,19:15:00,19:30:00,Fog,Jam,Scooter,Metropolitian,200,Toys,Friday,3,False,19.0,15.0,16.6,0,Very Long,Peak Hour,Medium Rating,1
jvjc772545076,35,4.6,12.352058,76.60665,12.482058,76.73665,2022-03-14,17:25:00,17:30:00,Cloudy,Medium,Motorcycle,Metropolitian,160,Snacks,Monday,3,False,17.0,5.0,20.21,0,Very Long,Peak Hour,Medium Rating,0
uaeb808891380,22,4.8,17.433809,78.386744,17.563809,78.516744,2022-03-20,20:55:00,21:05:00,Stormy,Jam,Motorcycle,Metropolitian,170,Electronics,Sunday,3,True,20.0,10.0,19.98,0,Very Long,Peak Hour,High Rating,1
bgvc052754213,36,4.2,30.327968,78.046106,30.397968,78.116106,2022-02-12,21:55:00,22:10:00,Fog,Jam,Motorcycle,Metropolitian,230,Toys,Saturday,2,True,21.0,15.0,10.28,0,Long,Peak Hour,Low Rating,1
vmau710398846,21,4.7,10.003064,76.307589,10.043064,76.347589,2022-02-13,14:55:00,15:05:00,Stormy,High,Motorcycle,Metropolitian,115,Cosmetics,Sunday,2,True,14.0,10.0,6.24,0,Medium,Non-Peak Hour,Medium Rating,0
lcwn330553507,23,4.7,18.56245,73.916619,18.65245,74.006619,2022-03-04,17:30:00,17:40:00,Sandstorms,Medium,Scooter,Metropolitian,105,Shoes,Friday,3,False,17.0,10.0,13.79,0,Long,Peak Hour,Medium Rating,0
wcjs752046999,34,4.3,30.899584,75.809346,30.919584,75.829346,2022-02-13,9:20:00,9:30:00,Sandstorms,Low,Motorcycle,Metropolitian,100,Apparel,Sunday,2,True,9.0,10.0,2.93,0,Short,Non-Peak Hour,Low Rating,0
blhl288691670,24,4.7,26.463504,80.372929,26.593504,80.502929,2022-02-14,19:50:00,20:05:00,Fog,Jam,Scooter,Metropolitian,205,Jewelry,Monday,2,False,19.0,15.0,19.4,0,Very Long,Peak Hour,Medium Rating,1
zyvo118176215,29,4.5,19.176269,72.836721,19.266269,72.926721,2022-04-02,20:25:00,20:35:00,Sandstorms,Jam,Van,Metropolitian,100,Outdoors,Saturday,4,True,20.0,10.0,13.76,0,Long,Peak Hour,Medium Rating,0
uhfs888375680,35,4.0,12.311072,76.654878,12.351072,76.694878,2022-03-01,14:55:00,15:10:00,Windy,High,Scooter,Metropolitian,33,Grocery,Tuesday,3,False,14.0,15.0,6.22,0,Medium,Non-Peak Hour,Low Rating,0
vmfv999642595,33,4.2,18.592718,73.773572,18.702718,73.883572,2022-03-16,20:30:00,20:40:00,Sandstorms,Jam,Motorcycle,Metropolitian,200,Cosmetics,Wednesday,3,False,20.0,10.0,16.85,0,Very Long,Peak Hour,Low Rating,1
qfgc848777135,34,4.9,17.426228,78.407495,17.496228,78.477495,2022-03-20,20:40:00,20:50:00,Cloudy,Jam,Motorcycle,Metropolitian,205,Snacks,Sunday,3,True,20.0,10.0,10.76,0,Long,Peak Hour,High Rating,1
vwmc439983136,21,4.7,22.552672,88.352885,22.582672,88.382885,2022-02-15,21:15:00,21:30:00,Windy,Jam,Motorcycle,Urban,75,Jewelry,Tuesday,2,False,21.0,15.0,4.54,0,Short,Peak Hour,Medium Rating,0
ntzy027061451,25,4.1,18.563934,73.915367,18.643935,73.995367,2022-03-16,20:20:00,20:25:00,Sandstorms,Jam,Motorcycle,Metropolitian,180,Toys,Wednesday,3,False,20.0,5.0,12.26,0,Long,Peak Hour,Low Rating,1
pbjm971961647,31,4.7,23.357804,85.325146,23.487804,85.455146,2022-03-10,22:30:00,22:45:00,Sandstorms,Low,Van,Metropolitian,130,Books,Thursday,3,False,22.0,15.0,19.62,0,Very Long,Peak Hour,Medium Rating,0
kjic578711491,37,5.0,11.003669,76.976494,11.013669,76.986494,2022-03-11,8:15:00,8:30:00,Sandstorms,Low,Motorcycle,Metropolitian,100,Clothing,Friday,3,False,8.0,15.0,1.56,0,Short,Non-Peak Hour,High Rating,0
rkzt648036688,33,4.3,12.986047,80.218114,13.116047,80.348114,2022-03-27,19:30:00,19:45:00,Windy,Jam,Scooter,Metropolitian,195,Snacks,Sunday,3,True,19.0,15.0,20.18,0,Very Long,Peak Hour,Low Rating,1
segh259958026,25,4.0,19.221315,72.862381,19.261315,72.902381,2022-03-26,12:25:00,12:30:00,Cloudy,High,Motorcycle,Metropolitian,170,Jewelry,Saturday,3,True,12.0,5.0,6.12,0,Medium,Non-Peak Hour,Low Rating,1
