traffic,weather,vehicle,area,distance_category,total_orders,avg_delivery_time,median_delivery_time,slow_delivery_rate,avg_distance_km
High,Cloudy,Motorcycle,Metropolitan,Medium,182,136.57,140.0,21.98,6.13
High,Cloudy,Motorcycle,Metropolitan,Short,146,136.66,140.0,17.81,2.33
High,Cloudy,Motorcycle,Metropolitan,Very Long,3,128.33,130.0,0.0,5883.92
High,Cloudy,Motorcycle,Other,Medium,4,148.75,152.5,25.0,6.08
High,Cloudy,Motorcycle,Other,Short,3,170.0,165.0,66.67,3.06
High,Cloudy,Motorcycle,Urban,Medium,33,131.15,130.0,15.15,6.13
High,Cloudy,Motorcycle,Urban,Short,33,135.09,140.0,9.09,2.37
High,Cloudy,Scooter,Metropolitan,Medium,110,139.34,142.5,27.27,6.13
High,Cloudy,Scooter,Metropolitan,Short,94,141.62,150.0,35.11,2.36
High,Cloudy,Scooter,Other,Medium,3,145.0,145.0,33.33,6.2
High,Cloudy,Scooter,Urban,Medium,24,141.0,140.0,29.17,6.13
High,Cloudy,Scooter,Urban,Short,22,142.5,140.0,27.27,2.16
High,Cloudy,Van,Metropolitan,Medium,25,147.0,150.0,28.0,6.16
High,Cloudy,Van,Metropolitan,Short,24,147.12,147.5,29.17,1.98
High,Cloudy,Van,Other,Medium,1,180.0,180.0,100.0,6.12
High,Cloudy,Van,Other,Short,1,120.0,120.0,0.0,1.5
High,Cloudy,Van,Urban,Medium,2,150.0,150.0,0.0,6.08
High,Cloudy,Van,Urban,Short,7,141.43,135.0,28.57,2.42
High,Fog,Motorcycle,Metropolitan,Medium,202,136.56,140.0,21.78,6.13
High,Fog,Motorcycle,Metropolitan,Short,156,132.38,135.0,19.87,2.42
High,Fog,Motorcycle,Metropolitan,Very Long,3,140.0,135.0,0.0,4596.62
High,Fog,Motorcycle,Other,Medium,6,106.17,115.0,0.0,6.11
High,Fog,Motorcycle,Other,Short,5,146.0,150.0,0.0,2.78
High,Fog,Motorcycle,Urban,Medium,36,110.25,130.0,2.78,6.13
High,Fog,Motorcycle,Urban,Short,38,128.21,127.5,13.16,2.3
High,Fog,Motorcycle,Urban,Very Long,2,160.0,160.0,0.0,4272.4
High,Fog,Scooter,Metropolitan,Medium,109,141.69,140.0,33.03,6.12
High,Fog,Scooter,Metropolitan,Short,94,139.06,142.5,29.79,2.49
High,Fog,Scooter,Other,Medium,2,127.5,127.5,0.0,6.22
High,Fog,Scooter,Other,Short,1,170.0,170.0,100.0,1.51
High,Fog,Scooter,Urban,Medium,21,134.33,130.0,23.81,6.14
High,Fog,Scooter,Urban,Short,17,131.18,130.0,11.76,2.25
High,Fog,Van,Metropolitan,Medium,26,140.92,140.0,30.77,6.15
High,Fog,Van,Metropolitan,Short,34,135.12,145.0,23.53,2.3
High,Fog,Van,Urban,Medium,2,140.0,140.0,50.0,6.13
High,Fog,Van,Urban,Short,3,143.33,145.0,0.0,2.02
High,Sandstorms,Motorcycle,Metropolitan,Medium,161,148.3,155.0,42.86,6.13
High,Sandstorms,Motorcycle,Metropolitan,Short,131,145.79,150.0,36.64,2.21
High,Sandstorms,Motorcycle,Metropolitan,Very Long,1,90.0,90.0,0.0,4422.66
High,Sandstorms,Motorcycle,Other,Medium,9,128.67,165.0,55.56,6.1
High,Sandstorms,Motorcycle,Other,Short,3,100.0,100.0,0.0,2.02
High,Sandstorms,Motorcycle,Semi-Urban,Medium,1,240.0,240.0,100.0,6.04
High,Sandstorms,Motorcycle,Semi-Urban,Short,3,240.0,245.0,100.0,2.05
High,Sandstorms,Motorcycle,Urban,Medium,49,133.78,130.0,22.45,6.1
High,Sandstorms,Motorcycle,Urban,Short,43,113.93,110.0,18.6,2.46
High,Sandstorms,Motorcycle,Urban,Very Long,3,141.67,170.0,66.67,5376.26
High,Sandstorms,Scooter,Metropolitan,Medium,93,124.09,135.0,13.98,6.13
High,Sandstorms,Scooter,Metropolitan,Short,76,123.07,130.0,14.47,2.19
High,Sandstorms,Scooter,Other,Medium,6,49.67,35.5,0.0,6.21
High,Sandstorms,Scooter,Other,Short,3,103.33,95.0,33.33,2.05
High,Sandstorms,Scooter,Urban,Medium,27,108.52,110.0,7.41,6.13
