order_id,agent_age,agent_rating,store_latitude,store_longitude,drop_latitude,drop_longitude,order_date,order_time,pickup_time,weather,traffic,vehicle,area,delivery_time,category,order_hour,time_slot,day_name,day_type,pickup_delay_mins,distance_km,distance_issue_flag,distance_category,slow_delivery_flag,rating_group
ialx566343618,37,4.9,22.745049,75.892471,22.765049,75.912471,2022-03-19,11:30:00,11:45:00,Sunny,High,Motorcycle,Urban,120,Clothing,11.0,Morning,Saturday,Weekend,15.0,3.03,0,Short,0,High
akqg208421122,34,4.5,12.913041,77.683237,13.043041,77.813237,2022-03-25,19:45:00,19:50:00,Stormy,Jam,Scooter,Metropolitan,165,Electronics,19.0,Evening,Friday,Weekday,5.0,20.18,0,Very Long,1,Good
njpu434582536,23,4.4,12.914264,77.6784,12.924264,77.6884,2022-03-19,8:30:00,8:45:00,Sandstorms,Low,Motorcycle,Urban,130,Sports,8.0,Morning,Saturday,Weekend,15.0,1.55,0,Short,0,Good
rjto796129700,38,4.7,11.003669,76.976494,11.053669,77.026494,2022-04-05,18:00:00,18:10:00,Sunny,Medium,Motorcycle,Metropolitan,105,Cosmetics,18.0,Evening,Tuesday,Weekday,10.0,7.79,0,Medium,0,High
zguw716275638,32,4.6,12.972793,80.249982,13.012793,80.289982,2022-03-26,13:30:00,13:45:00,Cloudy,High,Scooter,Metropolitan,150,Toys,13.0,Afternoon,Saturday,Weekend,15.0,6.21,0,Medium,0,High
fxuu788413734,22,4.8,17.431668,78.408321,17.461668,78.438321,2022-03-11,21:20:00,21:30:00,Cloudy,Jam,Motorcycle,Urban,130,Toys,21.0,Night,Friday,Weekday,10.0,4.61,0,Short,0,High
njmo150975311,33,4.7,23.369746,85.33982,23.479746,85.44982,2022-03-04,19:15:00,19:30:00,Fog,Jam,Scooter,Metropolitan,200,Toys,19.0,Evening,Friday,Weekday,15.0,16.6,0,Very Long,1,High
jvjc772545076,35,4.6,12.352058,76.60665,12.482058,76.73665,2022-03-14,17:25:00,17:30:00,Cloudy,Medium,Motorcycle,Metropolitan,160,Snacks,17.0,Evening,Monday,Weekday,5.0,20.21,0,Very Long,0,High
uaeb808891380,22,4.8,17.433809,78.386744,17.563809,78.516744,2022-03-20,20:55:00,21:05:00,Stormy,Jam,Motorcycle,Metropolitan,170,Electronics,20.0,Evening,Sunday,Weekend,10.0,19.98,0,Very Long,1,High
bgvc052754213,36,4.2,30.327968,78.046106,30.397968,78.116106,2022-02-12,21:55:00,22:10:00,Fog,Jam,Motorcycle,Metropolitan,230,Toys,21.0,Night,Saturday,Weekend,15.0,10.28,0,Long,1,Good
vmau710398846,21,4.7,10.003064,76.307589,10.043064,76.347589,2022-02-13,14:55:00,15:05:00,Stormy,High,Motorcycle,Metropolitan,115,Cosmetics,14.0,Afternoon,Sunday,Weekend,10.0,6.24,0,Medium,0,High
lcwn330553507,23,4.7,18.56245,73.916619,18.65245,74.006619,2022-03-04,17:30:00,17:40:00,Sandstorms,Medium,Scooter,Metropolitan,105,Shoes,17.0,Evening,Friday,Weekday,10.0,13.79,0,Long,0,High
wcjs752046999,34,4.3,30.899584,75.809346,30.919584,75.829346,2022-02-13,9:20:00,9:30:00,Sandstorms,Low,Motorcycle,Metropolitan,100,Apparel,9.0,Morning,Sunday,Weekend,10.0,2.93,0,Short,0,Good
blhl288691670,24,4.7,26.463504,80.372929,26.593504,80.502929,2022-02-14,19:50:00,20:05:00,Fog,Jam,Scooter,Metropolitan,205,Jewelry,19.0,Evening,Monday,Weekday,15.0,19.4,0,Very Long,1,High
zyvo118176215,29,4.5,19.176269,72.836721,19.266269,72.926721,2022-04-02,20:25:00,20:35:00,Sandstorms,Jam,Van,Metropolitan,100,Outdoors,20.0,Evening,Saturday,Weekend,10.0,13.76,0,Long,0,Good
uhfs888375680,35,4.0,12.311072,76.654878,12.351072,76.694878,2022-03-01,14:55:00,15:10:00,Windy,High,Scooter,Metropolitan,33,Grocery,14.0,Afternoon,Tuesday,Weekday,15.0,6.22,0,Medium,0,Average
vmfv999642595,33,4.2,18.592718,73.773572,18.702718,73.883572,2022-03-16,20:30:00,20:40:00,Sandstorms,Jam,Motorcycle,Metropolitan,200,Cosmetics,20.0,Evening,Wednesday,Weekday,10.0,16.85,0,Very Long,1,Good
qfgc848777135,34,4.9,17.426228,78.407495,17.496228,78.477495,2022-03-20,20:40:00,20:50:00,Cloudy,Jam,Motorcycle,Metropolitan,205,Snacks,20.0,Evening,Sunday,Weekend,10.0,10.76,0,Long,1,High
vwmc439983136,21,4.7,22.552672,88.352885,22.582672,88.382885,2022-02-15,21:15:00,21:30:00,Windy,Jam,Motorcycle,Urban,75,Jewelry,21.0,Night,Tuesday,Weekday,15.0,4.54,0,Short,0,High
ntzy027061451,25,4.1,18.563934,73.915367,18.643935,73.995367,2022-03-16,20:20:00,20:25:00,Sandstorms,Jam,Motorcycle,Metropolitan,180,Toys,20.0,Evening,Wednesday,Weekday,5.0,12.26,0,Long,1,Good
pbjm971961647,31,4.7,23.357804,85.325146,23.487804,85.455146,2022-03-10,22:30:00,22:45:00,Sandstorms,Low,Van,Metropolitan,130,Books,22.0,Night,Thursday,Weekday,15.0,19.62,0,Very Long,0,High
kjic578711491,37,5.0,11.003669,76.976494,11.013669,76.986494,2022-03-11,8:15:00,8:30:00,Sandstorms,Low,Motorcycle,Metropolitan,100,Clothing,8.0,Morning,Friday,Weekday,15.0,1.56,0,Short,0,High
rkzt648036688,33,4.3,12.986047,80.218114,13.116047,80.348114,2022-03-27,19:30:00,19:45:00,Windy,Jam,Scooter,Metropolitan,195,Snacks,19.0,Evening,Sunday,Weekend,15.0,20.18,0,Very Long,1,Good
segh259958026,25,4.0,19.221315,72.862381,19.261315,72.902381,2022-03-26,12:25:00,12:30:00,Cloudy,High,Motorcycle,Metropolitan,170,Jewelry,12.0,Afternoon,Saturday,Weekend,5.0,6.12,0,Medium,1,Average
owvs520891091,29,4.5,13.005801,80.250744,13.115801,80.360744,2022-03-27,18:35:00,18:50:00,Sunny,Medium,Van,Metropolitan,75,Outdoors,18.0,Evening,Sunday,Weekend,15.0,17.08,0,Very Long,0,Good
edrh271340988,27,5.0,26.849596,75.800512,26.879596,75.830512,2022-04-05,20:35:00,20:40:00,Stormy,Jam,Motorcycle,Urban,90,Cosmetics,20.0,Evening,Tuesday,Weekday,5.0,4.47,0,Short,0,High
qvfd540651807,35,4.3,21.160522,72.771477,21.250522,72.861477,2022-03-12,23:20:00,23:30:00,Cloudy,Low,Scooter,Metropolitan,190,Electronics,23.0,Night,Saturday,Weekend,10.0,13.68,0,Long,1,Good
gzfn634029300,32,4.0,12.934179,77.615797,13.024179,77.705797,2022-03-16,21:20:00,21:35:00,Windy,Jam,Motorcycle,Metropolitan,235,Cosmetics,21.0,Night,Wednesday,Weekday,15.0,13.97,0,Long,1,Average
xjps180812498,23,4.8,18.51421,73.838429,18.62421,73.948429,2022-04-02,23:35:00,23:45:00,Windy,Low,Van,Urban,60,Jewelry,23.0,Night,Saturday,Weekend,10.0,16.85,0,Very Long,0,High
